PIB per cápita en dólares (ajustados a dólares de 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Banco Mundial (https://data.worldbank.org/indicator/NY.GDP.PCAP.KD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afganistán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,332,323,346,354,393,399,473,526,512,558,569,565,556,553,553,547,555,530
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741,1804,1818,1800,1740,1735,1798,1749,1692,1809,1606,1163,1086,1198,1305,1488,1634,1464,1604,1822,1961,2144,2247,2381,2522,2676,2851,3045,3298,3432,3577,3678,3736,3781,3856,3953,4090,4250,4432,4543,4410
Alemania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17894,18421,19121,19972,20142,20042,21124,21881,22559,23485,23766,23856,23784,24221,24991,25630,26205,26531,27408,28256,29486,30767,31121,30615,31239,31628,31791,32313,32959,33559,34490,35011,34883,34620,35034,35310,36699,37842,38278,36190,37761,39977,40069,40135,40851,41103,41682,42640,42973,43329,41315
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35391,35160,36167,37123,37505,36247,36175,36082,35552,34463,34015,32670,31709,30897,30085,29480,29179,29565,29855,30091,30051,29643,28792,27518,27408,27642,28701,31326,32416,33625,34268,35975,36159,37620,39043,39783,40603,40392,37611,35363,34667,34957,33750,33221,34722,35771,37433,37708,38301,39004,34588
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2653,2449,2363,2376,2431,2428,2412,2424,2484,2401,2241,2190,1995,1468,1441,1604,1764,1832,1857,1837,1832,1847,2031,2022,2168,2407,2589,2845,3048,2962,2994,2988,3128,3169,3207,3128,2946,2845,2717,2612,2390
Antigua y Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570,5826,6306,6830,7099,7094,7475,8234,8863,9887,10549,11091,11627,11876,11976,11908,12286,12829,12007,12525,12928,13260,13484,14070,13220,13171,13793,14400,15122,16786,18062,17771,15402,13987,13525,13803,13554,13909,14285,14919,15242,16147,16786,13286
Arabia Saudita,NA,NA,NA,NA,NA,NA,NA,NA,13739,14017,21336,24599,28857,34129,37741,32681,36613,37276,33536,35516,35380,33898,25216,19880,17858,15249,16970,15130,16404,15700,17453,19428,19606,18816,18452,18070,18162,18009,18178,17138,17691,17032,16095,17385,18220,18683,18670,18496,19118,18203,18568,19813,20250,20176,20328,20628,20503,19947,20083,19818,18700
Argelia,2170,1829,1433,1878,1937,2003,1855,1973,2124,2238,2369,2043,2532,2558,2675,2732,2879,2944,3123,3259,3186,3182,3282,3353,3433,3454,3367,3249,3128,3180,3124,3011,2994,2867,2783,2834,2899,2884,2986,3038,3111,3163,3298,3490,3593,3752,3760,3828,3856,3851,3918,3957,4012,4043,4112,4178,4224,4192,4154,4115,3834
Argentina,7363,7637,7452,6946,7532,8202,8027,8162,8430,9108,9243,9614,9614,9725,10100,9940,9591,10104,9506,10321,10318,9630,9408,9660,9655,9009,9413,9517,9269,8478,8149,8770,9339,9974,10423,10003,10431,11147,11446,10936,10731,10146,8943,9630,10389,11192,11971,12919,13311,12398,13551,14200,13896,14072,13568,13789,13360,13595,13105,12713,11344
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1651,1471,872,814,879,959,1030,1077,1164,1210,1290,1422,1619,1856,2062,2364,2697,3093,3335,2884,2959,3099,3313,3407,3511,3607,3601,3860,4051,4350,4021
